Barnstable,9658,8790,13582,4970,4956,13814,7756,11271,6094,11936,8119,10029,9894,14636,16210,8562,15831,8841,11913,7352,7812,11260,9961,9802,19139,3114,12029,12649,14622,9806
Bourne,3359,3383,4869,1718,1517,5122,2942,4557,2205,4884,3147,3989,3837,6047,6424,3468,5498,4323,5094,2925,3534,4203,4258,3731,7072,1727,4905,5099,5874,4041
Brewster,2237,2282,3295,1392,1514,3080,1835,3126,1776,2922,2321,2406,2239,4066,4310,2099,4346,2019,2730,2153,1798,3121,2167,2887,4988,725,3421,2859,3857,2386
Chatham,1781,1775,2811,923,1174,2498,1563,2288,1311,2332,1581,2007,1815,2805,3089,1604,3267,1404,2153,1526,1393,2318,1800,1981,3552,515,2408,2046,2599,1826
Dennis,3593,3555,5406,1947,1968,5256,2877,4778,2474,4799,3345,3942,3373,5769,5930,3409,5798,3476,4492,2774,2791,4435,3487,3938,6961,1004,4281,4656,5057,3799
Eastham,1303,1410,1901,843,888,1797,1116,1867,1049,1795,1397,1382,1290,2463,2511,1266,2560,1188,1572,1382,1040,1936,1203,1864,2869,347,1970,1639,2228,1349
Falmouth,6380,7553,9118,4488,4815,8751,6005,8588,4450,9356,6090,7761,6490,12401,12259,6613,11651,7071,8313,7036,7527,7456,6661,8677,14654,2261,10026,8899,11575,7216
Harwich,2887,2860,4350,1613,1675,4206,2308,3829,2009,3841,2665,3135,2721,4975,4858,2952,5185,2624,3553,2586,2341,3892,2894,3516,6352,938,4031,3888,4645,3193
Mashpee,2755,2322,4135,1309,1237,4099,2511,3150,1737,3619,2395,3010,3163,4549,5068,2804,4784,3064,3755,2215,2580,3529,3156,3104,6029,1036,3829,4247,4627,3346
Orleans,1662,1779,2420,1147,1249,2284,1182,2484,1323,2107,1585,1834,1630,2810,3015,1517,3282,1242,1762,1729,1242,2378,1551,2161,3566,484,2496,1901,2693,1675
Provincetown,724,894,924,723,555,1069,868,1040,712,999,1050,630,757,1557,1942,339,1772,473,623,1135,572,1131,458,1303,2027,207,1802,500,1939,349
Sandwich,4571,3897,6586,2210,2059,6570,3556,5496,2863,5730,3621,4983,5039,6809,7568,4264,7181,4579,6330,3633,4310,5225,5269,4651,9625,1443,5789,6371,6913,5252
Truro,463,574,609,426,379,652,479,712,481,629,647,469,444,978,1098,316,1068,329,551,646,392,783,420,783,1263,127,989,444,1089,340
Wellfleet,607,836,854,624,587,866,642,1019,627,929,864,675,712,1441,1697,451,1536,579,795,982,576,1136,671,1099,1892,215,1489,703,1645,536
Yarmouth,4883,4762,7475,2471,2502,7319,3961,6872,3446,6801,4828,5493,5055,8401,8549,5183,8543,5139,6162,4022,4059,6469,5026,5772,10205,1709,6219,7123,7399,5742
Adams,982,1469,1395,1009,580,1838,853,1725,674,1832,1076,1414,775,3223,2140,1848,2502,1490,903,1391,618,1623,663,1657,2589,917,1929,1864,2340,1409
Alford,85,118,108,100,119,91,61,184,93,120,105,101,64,237,198,90,239,62,59,159,67,142,36,181,234,57,238,61,224,69
Becket,181,257,295,151,165,286,261,298,198,343,310,221,267,675,661,272,629,300,237,361,212,364,221,377,659,141,687,251,709,227
Cheshire,459,642,702,401,326,766,425,854,330,855,537,649,493,1370,1037,809,1166,681,482,640,365,706,389,720,1224,413,930,781,1066,610
Clarksburg,181,327,303,210,116,386,254,365,129,437,213,356,133,766,423,454,492,389,200,346,132,393,160,385,620,207,410,437,483,341
Dalton,831,1146,1277,663,621,1342,625,1654,560,1588,1055,1086,657,2835,1926,1541,2519,938,854,1426,695,1485,700,1570,2152,744,1681,1643,1989,1322
Egremont,206,344,279,268,258,288,161,480,247,318,335,225,184,612,577,220,628,168,217,380,195,370,184,409,632,143,623,178,597,197
Florida,101,123,144,74,59,158,141,118,90,149,107,134,111,311,245,174,219,200,128,122,94,138,120,127,278,83,214,154,240,114
Great Barrington,788,1389,1086,1149,986,1263,562,1932,928,1372,1341,939,2487,1115,711,2901,2816,777,778,1662,608,1723,623,1819,2514,560,2278,1168,2424,1047
Hancock,94,154,94,156,159,91,108,147,80,151,126,100,121,278,217,164,250,127,99,184,85,182,116,166,271,88,257,110,241,116
Hinsdale,239,317,378,185,176,389,235,430,177,427,291,313,274,810,648,435,782,299,270,421,220,433,268,417,768,240,635,386,669,339
Lanesborough,269,433,394,288,266,419,290,753,284,688,480,488,328,1307,954,663,1154,473,366,614,293,692,334,688,987,364,1016,535,1017,529
Lee,696,1054,1046,706,727,1044,596,1451,626,1291,1028,868,573,2405,1791,1195,2149,830,759,1151,537,1276,556,1381,1897,610,1531,1331,1808,1022
Lenox,594,1211,960,848,924,902,560,1681,661,1429,1120,968,508,2453,1785,1175,2369,596,685,1493,561,1459,523,1641,1932,696,1731,1140,1833,1034
Monterey,129,258,203,179,215,174,132,294,186,196,240,135,141,423,412,155,465,94,110,287,113,262,113,276,409,87,376,128,367,143
