Barnstable,11913,7352,7812,11260,9961,9802,19139,3114,12029,12649,14622,9806,10824,7157,4848,13646,7988,10321,9317,8968,9092,15870,12839,12910,20361,5352,12432,13463,6538,15338,14373,7187,13618,8152,21155,6433,9468,17783
Bourne,5094,2925,3534,4203,4258,3731,7072,1727,4905,5099,5874,4041,4299,3038,1562,5873,2934,4472,3636,3742,4947,5444,4701,6075,8346,2430,5273,5583,2608,6500,5836,3098,5361,3691,8455,2655,3461,6440
Brewster,2730,2153,1798,3121,2167,2887,4988,725,3421,2859,3857,2386,2596,2189,1530,3335,2519,2284,2637,2138,1861,4600,3003,3638,5323,1314,3221,3468,2109,3759,4276,1566,4138,1735,5739,1427,2847,4281
Chatham,2153,1526,1393,2318,1800,1981,3552,515,2408,2046,2599,1826,1876,1544,1079,2459,1944,1560,1710,1767,1211,3214,2293,2213,3570,938,1928,2611,1092,2939,2734,1253,2729,1284,3799,1093,1677,3137
Dennis,4492,2774,2791,4435,3487,3938,6961,1004,4281,4656,5057,3799,3736,2996,1692,5239,2855,4004,3576,3241,3238,5678,4031,5179,7317,1840,4237,5028,2605,5599,5553,2516,5377,2781,7844,2101,3092,6718
Eastham,1572,1382,1040,1936,1203,1864,2869,347,1970,1639,2228,1349,1339,1383,999,1799,1401,1374,1630,1115,1089,2480,1609,2033,2950,693,1876,1783,1205,2024,2415,807,2390,851,3216,775,1599,2338
Falmouth,8313,7036,7527,7456,6661,8677,14654,2261,10026,8899,11575,7216,7440,6549,4254,9861,6682,7351,7994,6001,6126,13263,8580,11204,15654,4109,9640,10290,5468,11647,11987,4861,11535,5506,16108,4899,8424,12338
Harwich,3553,2586,2341,3892,2894,3516,6352,938,4031,3888,4645,3193,3307,2554,1738,4247,2719,3193,3156,2735,2785,5431,3527,4897,6575,1805,4002,4461,2363,5066,5098,2247,4938,2453,7087,2064,3192,5874
Mashpee,3755,2215,2580,3529,3156,3104,6029,1036,3829,4247,4627,3346,3419,2339,1295,4666,2416,3500,3054,2849,2999,5496,4268,4556,6973,1815,4126,4749,2450,5225,5044,2499,4716,2901,7492,2367,3227,6647
Orleans,1762,1729,1242,2378,1551,2161,3566,484,2496,1901,2693,1675,1696,1643,1282,2136,2059,1335,1850,1521,1042,3342,2262,2224,3678,808,2229,2297,1343,2672,2858,1113,2867,1128,3763,894,1892,2718
Provincetown,623,1135,572,1131,458,1303,2027,207,1802,500,1939,349,563,1022,767,844,692,904,1039,446,836,1445,982,1296,2097,219,1717,537,957,1122,1811,252,1912,161,1929,559,1369,1081
Sandwich,6330,3633,4310,5225,5269,4651,9625,1443,5789,6371,6913,5252,5681,3257,1997,7036,3830,5154,4549,4394,4569,7727,5834,6797,9824,2794,5849,6846,3277,7385,6983,3509,6260,4355,10421,3091,4429,8961
Truro,551,646,392,783,420,783,1263,127,989,444,1089,340,447,648,416,680,545,541,602,384,440,1099,650,894,1327,225,963,546,603,830,1128,278,1170,252,1323,369,853,824
Wellfleet,795,982,576,1136,671,1099,1892,215,1489,703,1645,536,738,880,710,932,949,683,998,518,620,1565,974,1235,1845,365,1431,764,915,1067,1634,349,1609,379,1932,499,1261,1146
Yarmouth,6162,4022,4059,6469,5026,5772,10205,1709,6219,7123,7399,5742,5464,4215,2611,7364,4124,5767,5203,4635,5153,8313,6236,7645,11014,2865,6227,7748,3676,8306,8110,3700,7637,4282,11459,3362,4904,9772
Adams,903,1391,618,1623,663,1657,2589,917,1929,1864,2340,1409,986,1140,1084,1103,705,1451,1473,683,2057,1841,1253,2737,3031,939,2287,1714,707,2422,2228,844,2108,999,2976,1281,1765,2534
Alford,59,159,67,142,36,181,234,57,238,61,224,69,69,124,141,62,137,65,116,58,52,236,125,177,238,60,189,98,61,191,217,41,215,40,229,88,181,138
Becket,237,361,212,364,221,377,659,141,687,251,709,227,262,294,299,285,293,291,382,199,364,596,367,634,780,227,690,338,244,539,560,215,557,224,876,232,467,622
Cheshire,482,640,365,706,389,720,1224,413,930,781,1066,610,449,539,456,536,403,591,573,355,869,927,577,1266,1340,499,1039,824,363,1097,1014,411,894,538,1265,618,675,1212
Clarksburg,200,346,132,393,160,385,620,207,410,437,483,341,255,291,265,293,207,347,313,179,462,404,263,611,655,221,448,392,127,577,475,201,466,205,687,269,360,586
Dalton,854,1426,695,1485,700,1570,2152,744,1681,1643,1989,1322,963,1023,1074,949,871,1143,1346,670,1382,1879,1013,2366,2576,808,1745,1671,726,2103,2110,628,2018,760,2674,958,1622,1972
Egremont,217,380,195,370,184,409,632,143,623,178,597,197,229,373,359,246,385,223,388,187,178,622,313,497,644,176,537,285,190,574,620,136,631,135,671,215,518,366
Florida,128,122,94,138,120,127,278,83,214,154,240,114,117,113,113,121,98,134,138,68,163,213,140,235,254,123,200,165,74,242,175,130,175,130,280,125,117,270
Great Barrington,778,1662,608,1723,623,1819,2514,560,2278,1168,2424,1047,1100,1481,1481,1232,1532,1147,1887,776,979,2606,1174,2445,3101,558,2364,1323,693,2334,2505,477,2480,526,2644,1129,2076,1713
Hancock,99,184,85,182,116,166,271,88,257,110,241,116,117,112,126,106,123,108,131,87,141,245,128,260,270,120,207,173,80,270,226,119,204,139,298,147,146,303
Hinsdale,270,421,220,433,268,417,768,240,635,386,669,339,322,336,369,295,262,398,359,239,446,646,399,699,810,283,605,460,256,645,641,234,605,275,817,326,459,673
Lanesborough,366,614,293,692,334,688,987,364,1016,535,1017,529,433,460,540,389,404,509,628,286,710,928,534,1155,1309,381,1016,705,350,1021,988,345,899,446,1164,599,744,995
Lee,759,1151,537,1276,556,1381,1897,610,1531,1331,1808,1022,788,942,801,973,831,926,1161,581,1116,1767,851,2153,2400,596,1671,1353,605,1831,1837,597,1794,674,2476,852,1463,1850
Lenox,685,1493,561,1459,523,1641,1932,696,1731,1140,1833,1034,795,1119,1116,873,1204,761,1312,620,786,2104,906,2071,2474,515,1601,1404,666,1915,2088,453,2076,492,2347,813,1559,1591
Monterey,110,287,113,262,113,276,409,87,376,128,367,143,151,199,235,122,235,121,245,82,112,410,187,339,434,101,330,192,128,333,384,67,368,81,418,130,307,245
Mount Washington,25,49,29,45,24,53,94,8,87,15,88,17,33,37,42,29,47,24,35,23,20,84,50,50,75,30,68,34,22,73,74,16,79,12,94,28,74,47
New Ashford,53,57,33,73,40,69,105,42,120,31,100,44,54,51,64,43,47,58,63,31,62,93,48,109,102,55,101,52,31,94,83,39,76,48,96,41,66,75
New Marlborough,218,364,196,374,202,376,647,144,602,217,600,211,238,297,276,267,320,222,322,172,259,578,287,555,625,222,532,290,167,593,561,181,570,174,656,226,407,468
N. Adams,1161,2239,763,2531,872,2561,3849,1128,2926,2543,3645,1710,1429,1723,1656,1609,1206,2019,2272,947,2733,2670,1848,3788,4303,1316,3531,2172,1161,2968,3019,956,3015,1032,4084,1535,2632,2978
Otis,233,329,189,351,248,321,612,116,527,280,566,236,264,289,214,362,244,321,344,218,308,544,328,545,608,266,525,367,192,498,500,202,467,241,656,289,366,594
Peru,119,174,83,187,109,180,357,97,320,142,335,128,139,142,146,137,108,178,200,74,216,283,154,345,357,146,306,204,103,324,281,126,272,144,374,134,193,305
Pittsfield,4492,7835,3474,8425,3828,8728,12775,4310,10167,8846,12284,6490,5031,5971,5699,5625,4840,6388,7864,3331,8567,10410,6160,13612,15474,4199,11646,8293,4355,11632,11884,3695,11703,4128,14281,6329,9150,11295
Richmond,209,513,203,480,187,536,597,231,577,308,589,293,245,377,371,269,373,257,406,220,269,704,354,627,802,178,568,424,179,633,649,147,653,148,788,223,555,440
Sandisfield,127,181,110,178,132,169,348,89,310,135,310,132,115,142,131,129,129,134,172,78,174,273,156,289,339,114,299,155,118,238,259,94,232,117,328,152,184,289
Savoy,108,119,86,135,120,107,273,74,232,118,229,115,105,108,116,97,85,125,120,54,166,220,141,249,258,131,214,163,88,190,177,86,162,103,277,102,132,237
Sheffield,419,791,316,840,401,805,1343,362,1140,627,1227,525,487,614,550,573,600,522,651,346,602,1221,566,1268,1423,428,1124,693,315,1254,1215,325,1189,342,1398,624,878,1101
Stockbridge,241,601,196,589,207,627,804,229,787,352,804,329,355,482,507,371,566,308,621,243,276,950,450,796,1053,208,767,502,266,835,888,192,890,199,932,305,691,538
Tyringham,75,140,89,108,66,149,179,67,150,102,147,101,65,118,105,84,118,71,106,59,74,209,88,198,216,70,154,131,58,196,196,53,186,62,210,86,139,161
Washington,87,175,78,172,84,178,237,68,214,94,208,100,114,122,133,107,113,128,143,78,95,224,106,216,232,91,190,126,114,184,234,61,205,91,278,62,150,190
W. Stockbridge,196,430,171,395,176,420,649,177,641,214,506,235,281,348,407,237,379,268,382,166,211,640,255,615,717,160,541,347,193,591,631,130,647,130,674,238,505,397
Williamstown,598,2037,518,2048,500,2175,2634,702,2600,1078,2703,984,836,1541,1779,703,1616,823,1803,615,842,2565,1325,2155,2965,554,2160,1387,850,2194,2618,432,2660,406,2684,833,2304,1257
Windsor,139,233,108,239,137,228,382,131,366,145,347,163,156,164,183,140,158,6,208,97,204,319,193,333,391,137,300,218,132,323,313,133,301,141,433,132,256,300
Acushnet,2074,1603,1546,2198,1802,2065,3682,799,1879,3221,2969,2062,1484,1379,568,2506,890,2193,1800,1264,2645,2408,1949,3494,3962,1454,2803,2684,1240,2849,2537,1560,2060,2080,3871,1906,2644,3158
Attleboro,6939,5317,5094,7086,6331,6350,14497,2340,8539,9758,11683,6506,6830,4980,2159,9881,3162,8826,7177,4759,9872,10281,7294,13306,15863,4673,11771,8918,4256,10982,10565,4662,9659,5744,15570,7354,8760,14073
Berkley,1497,886,1242,1071,1324,1056,2633,393,1531,1692,2049,1163,1156,913,393,1711,741,1354,1104,973,1507,2010,1220,2381,2642,946,1974,1649,827,1993,1755,996,1468,1323,2818,1100,2023,1868
Dartmouth,5537,5696,4632,6649,4899,6818,11826,1953,6949,8671,9846,5527,4413,4520,2013,7225,3595,5589,5383,3797,7012,8453,6381,9669,11515,4499,8830,7359,3837,8453,8279,4043,7610,4860,12406,4488,6183,10879
Dighton,1601,1014,1405,1225,1379,1327,2904,435,1552,1980,2212,1314,1292,1000,425,1903,809,1507,1242,1059,1779,2127,1350,2676,2865,1144,2165,1863,938,2184,1989,1068,1671,1428,3086,1336,1330,3005
Easton,5275,3607,5296,3343,4509,4314,9235,1369,5447,6159,7096,4503,4775,3278,1525,6673,2711,5462,4264,3866,5208,7306,4425,8309,9727,2973,5929,6887,3034,7416,6989,3244,6586,3801,10221,3749,5314,8471
Fairhaven,3194,2822,2249,3522,2701,3313,6372,1040,3647,4209,5138,2666,2435,2537,1157,3956,1751,3290,2968,2063,4013,4185,3148,5282,6524,1874,4692,3817,2417,4470,4627,2184,4138,2750,6799,2351,3079,5966
Fall River,9104,8419,7683,10169,7864,10689,18380,4255,10028,17181,15932,10339,7386,7132,3745,12261,5137,10913,10901,5184,15144,11019,12621,16082,20868,7099,16341,12336,5965,12562,12391,6193,11203,7582,19145,10418,10710,17985
Freetown,1960,1385,1561,1848,1734,1772,3624,599,2138,2420,2927,1604,1537,1262,465,2417,970,1883,1478,1357,2205,2604,1783,3207,3640,1320,2654,2360,1054,2736,2439,1375,2102,1769,3692,1614,1628,3675
Mansfield,5093,3564,4178,4115,4206,4419,9658,1325,5646,5978,7299,4270,4886,3166,1463,6697,2595,5551,4357,3743,5139,7751,4422,8721,10139,2966,6822,6385,2961,7765,7416,3091,7072,3580,10359,3648,5676,8213
New Bedford,9652,10502,7430,13292,8989,12487,21619,4984,11613,19343,19251,11279,7641,8743,4417,12582,5376,11571,12145,4930,16947,13619,13331,18527,23697,7746,18391,13647,8730,14148,15069,7194,13786,8784,22970,9617,13274,18688
N. Attleborough,5818,3709,4356,5137,5140,4738,10589,1648,6445,7477,8752,5047,5299,3656,1417,7825,2433,6795,4873,4302,6480,8068,5287,9826,11638,3407,8230,6953,3304,8402,8098,3532,7412,4349,11742,5013,6389,10219
Norton,3946,2702,3361,3089,3330,3299,7395,1024,4282,4594,5745,3096,3743,2183,1053,4969,1543,4475,3322,2690,4519,4973,3108,6562,7632,2021,5312,4425,2282,5348,5120,2401,4742,2871,7862,2626,3895,6493
Raynham,3254,1996,2543,2516,2726,2510,5628,796,2932,3798,3983,2712,2791,1935,783,4027,1297,3508,2485,2288,3639,3724,2651,4952,5624,1961,3711,3945,1738,4282,3745,2098,3299,2654,5930,2357,2586,5556
Rehoboth,2440,1822,2074,2160,2261,2126,4525,826,2950,3121,3905,2118,1900,1814,834,2927,1350,2399,1765,1968,2877,3656,2554,4216,4922,1819,3678,3149,1447,3640,3293,1709,2841,2208,5092,2557,2517,4990
Seekonk,2650,2294,2196,2714,2444,2596,5430,958,3397,3622,4478,2465,1976,2131,731,3448,1495,2688,2309,1850,3349,4044,2949,4702,5714,1892,3960,3740,1906,3859,4114,1715,3645,2248,5491,3116,2869,5530
Somerset,3838,2965,2826,3940,3117,3756,7073,1215,3970,5619,5686,3715,3191,2644,1144,4941,1977,4097,3450,2602,5032,4617,3598,6320,7415,2425,5223,4734,2165,5165,4740,2407,4287,2962,7064,3590,3185,7270
Swansea,3142,2350,2282,3185,2670,3007,6008,1024,3330,4354,4762,2838,2282,2095,700,3766,1484,2960,2421,2034,4195,4068,3286,5221,6282,2155,4593,3984,1802,4572,4182,2161,3695,2705,6029,3506,2894,6428
Taunton,9435,6693,7025,8425,7709,8375,16954,2683,9007,12976,13557,8271,7820,6415,2628,11900,4488,10007,8556,5625,10578,11629,8355,15128,17323,6024,13191,10450,6194,11164,11017,5776,10145,6970,17890,6892,8786,15444
Westport,3110,2954,2682,3324,2760,3498,6412,1152,3889,4244,5162,2896,2861,2370,1465,3888,2129,3166,2831,2451,3942,4764,3758,5265,6765,2180,4783,4270,2034,4900,4602,2297,4107,2873,6795,3344,3283,6757
Aquinnah,93,119,63,138,94,117,258,28,205,84,240,55,90,93,90,106,127,68,120,52,50,227,169,107,248,29,205,71,134,127,225,31,228,30,259,77,194,136
Chilmark,211,341,205,318,209,338,632,53,546,154,558,146,211,273,279,222,379,118,288,159,84,667,424,330,658,92,525,217,318,379,613,84,628,81,684,194,567,318
Edgartown,925,897,679,1069,854,967,1994,238,1515,922,1686,746,844,783,576,1092,904,750,866,762,734,1897,1356,1347,2283,413,1672,1061,1036,1197,1663,525,1649,569,2278,666,1379,1569
Gosnold,28,38,27,35,28,38,69,12,60,24,65,18,17,27,18,27,30,15,25,12,13,56,39,31,52,17,40,27,19,37,44,10,46,9,56,22,36,45
Oak Bluffs,977,1068,700,1238,914,1111,2158,274,1646,1010,1855,787,827,887,626,1136,839,900,969,749,863,1949,1355,1570,2462,464,1844,1122,1149,1311,1944,471,1926,531,2327,733,1527,1509
Tisbury,832,1119,605,1252,785,1137,1852,206,1598,830,1793,624,748,788,590,1023,928,674,1001,583,635,1889,1288,1256,2193,362,1721,862,1110,1151,1838,416,1826,402,2038,610,1430,1210
W. Tisbury,563,873,487,881,525,895,1668,137,1462,467,1587,349,558,763,665,725,857,516,855,501,400,1687,1068,1068,1892,261,1578,590,949,899,1601,246,1609,250,1772,448,1340,857
