"District","X2014_STATE_MEAS_86_YES","X2014_STATE_MEAS_86_NO","X2014_STATE_MEAS_87_YES","X2014_STATE_MEAS_87_NO","X2014_STATE_MEAS_88_YES","X2014_STATE_MEAS_88_NO","X2014_STATE_MEAS_89_YES","X2014_STATE_MEAS_89_NO","X2014_STATE_MEAS_90_YES","X2014_STATE_MEAS_90_NO","X2014_STATE_MEAS_91_YES","X2014_STATE_MEAS_91_NO","X2014_STATE_MEAS_92_YES","X2014_STATE_MEAS_92_NO","X2014_CITY_MEAS_26_159_YES","X2014_CITY_MEAS_26_159_NO","X2014_METRO_MEAS_26_160_YES","X2014_METRO_MEAS_26_160_NO","X2014_CITY_MEAS_26_156_YES","X2014_CITY_MEAS_26_156_NO","X2013_CITY_MEAS_26_150_YES","X2013_CITY_MEAS_26_150_NO","X2013_CITY_MEAS_26_151_YES","X2013_CITY_MEAS_26_151_NO","X2013_METRO_MEAS_26_152_YES","X2013_METRO_MEAS_26_152_NO","X2012_STATE_MEAS_77_YES","X2012_STATE_MEAS_77_NO","X2012_STATE_MEAS_78_YES","X2012_STATE_MEAS_78_NO","X2012_STATE_MEAS_79_YES","X2012_STATE_MEAS_79_NO","X2012_STATE_MEAS_80_YES","X2012_STATE_MEAS_80_NO","X2012_STATE_MEAS_81_YES","X2012_STATE_MEAS_81_NO","X2012_STATE_MEAS_82_YES","X2012_STATE_MEAS_82_NO","X2012_STATE_MEAS_83_YES","X2012_STATE_MEAS_83_NO","X2012_STATE_MEAS_84_YES","X2012_STATE_MEAS_84_NO","X2012_STATE_MEAS_85_YES","X2012_STATE_MEAS_85_NO","X2012_COUNTY_MEAS_26_143_YES","X2012_COUNTY_MEAS_26_143_NO","X2012_CITY_MEAS_26_145_YES","X2012_CITY_MEAS_26_145_NO","X2012_CITY_MEAS_26_146_YES","X2012_CITY_MEAS_26_146_NO","X2012_MEAS_26_125_YES","X2012_MEAS_26_125_NO","X2012_CITY_MEAS_26_126_YES","X2012_CITY_MEAS_26_126_NO","X2012_CITY_MEAS_26_127_YES","X2012_CITY_MEAS_26_127_NO","X2012_CITY_MEAS_26_128_YES","X2012_CITY_MEAS_26_128_NO","X2012_CITY_MEAS_26_129_YES","X2012_CITY_MEAS_26_129_NO","X2012_CITY_MEAS_26_130_YES","X2012_CITY_MEAS_26_130_NO","X2012_CITY_MEAS_26_131_YES","X2012_CITY_MEAS_26_131_NO","X2012_CITY_MEAS_26_132_YES","X2012_CITY_MEAS_26_132_NO","X2012_CITY_MEAS_26_133_YES","X2012_CITY_MEAS_26_133_NO","X2012_CITY_MEAS_26_134_YES","X2012_CITY_MEAS_26_134_NO","X2016_MEAS_26_174_YES","X2016_MEAS_26_174_NO","X2016_MEAS_26_173_YES","X2016_MEAS_26_173_NO","X2016_MEAS_94_YES","X2016_MEAS_94_NO","X2016_MEAS_95_YES","X2016_MEAS_95_NO","X2016_MEAS_96_YES","X2016_MEAS_96_NO","X2016_MEAS_97_YES","X2016_MEAS_97_NO","X2016_MEAS_98_YES","X2016_MEAS_98_NO","X2016_MEAS_99_YES","X2016_MEAS_99_NO","X2016_MEAS_100_YES","X2016_MEAS_100_NO","X2016_MEAS_26_181_YES","X2016_MEAS_26_181_NO","X2016_MEAS_26_182_YES","X2016_MEAS_26_182_NO","X2016_MEAS_26_183_YES","X2016_MEAS_26_183_NO","X2016_MEAS_26_184_YES","X2016_MEAS_26_184_NO","X2016_MEAS_26_185_YES","X2016_MEAS_26_185_NO","X2016_MEAS_26_179_YES","X2016_MEAS_26_179_NO","X2016_MEAS_26_180_YES","X2016_MEAS_26_180_NO","X2016_MEAS_26_178_YES","X2016_MEAS_26_178_NO","X2017_CITY_MEAS_26_189_YES","X2017_CITY_MEAS_26_189_NO","X2017_CITY_MEAS_26_194_YES","X2017_CITY_MEAS_26_194_NO","X2018_STATE_MEAS_101_YES","X2018_STATE_MEAS_101_NO","X2018_MEAS_26_197_YES","X2018_MEAS_26_197_NO","X2018_STATE_MEAS_102_YES","X2018_STATE_MEAS_102_NO","X2018_STATE_MEAS_103_YES","X2018_STATE_MEAS_103_NO","X2019_STATE_MEAS_104_YES","X2018_STATE_MEAS_104_NO","X2018_STATE_MEAS_105_YES","X2018_STATE_MEAS_105_NO","X2018_STATE_MEAS_106_YES","X2018_STATE_MEAS_106_NO","X2019_CITY_MEAS_26_200_YES","X2018_CITY_MEAS_26_200_NO","X2018_CITY_MEAS_26_201_YES","X2018_CITY_MEAS_26_201_NO","X2018_METRO_MEAS_26_199_YES","X2018_METRO_MEAS_26_199_NO","X2019_METRO_MEAS_26_203_YES","X2019_METRO_MEAS_26_203_NO","X2019_CITY_MEAS_26_204_YES","X2019_CITY_MEAS_26_204_NO","X2019_CITY_MEAS_26_205_YES","X2019_CITY_MEAS_26_205_NO","X2020_CITY_MEAS_26_209_YES","X2020_CITY_MEAS_26_209_NO","X2020_METRO_MEAS_26_210_YES","X2020_METRO_MEAS_26_210_NO","X2020_STATE_MEAS_107_YES","X2020_STATE_MEAS_107_NO","X2020_STATE_MEAS_108_YES","X2020_STATE_MEAS_108_NO","X2020_STATE_MEAS_109_YES","X2020_STATE_MEAS_109_NO","X2020_STATE_MEAS_110_YES","X2020_STATE_MEAS_110_NO","X2020_COUNTY_MEAS_26_211_YES","X2020_COUNTY_MEAS_26_211_NO","X2020_COUNTY_MEAS_26_214_YES","X2020_COUNTY_MEAS_26_214_NO","X2020_CITY_MEAS_26_213_YES","X2020_CITY_MEAS_26_213_NO","X2020_CITY_MEAS_26_217_YES","X2020_CITY_MEAS_26_217_NO","X2020_CITY_MEAS_26_219_YES","X2020_CITY_MEAS_26_219_NO","X2020_METRO_MEAS_26_218_YES","X2020_METRO_MEAS_26_218_NO","X2021_MEAS_26_221_YES","X2021_MEAS_26_221_NO"
"2701",242,220,345,114,289,195,347,111,234,227,313,174,269,220,314,159,329,92,73,174,235,97,227,124,184,153,363,145,441,71,230,286,272,270,170,338,110,437,108,437,276,263,330,196,267,247,396,82,283,258,258,53,243,23,216,50,241,30,242,34,235,40,213,47,248,20,234,22,250,19,278,148,237,193,272,272,459,80,379,173,213,362,358,188,368,194,456,87,191,308,322,170,207,300,426,83,283,138,276,257,458,64,332,176,268,32,199,113,244,92,177,63,376,173,113,444,120,417,91,457,81,474,416,104,242,301,306,236,188,125,277,37,262,52,353,102,208,244,524,94,561,70,376,245,444,179,312,306,268,354,310,314,435,185,226,372,211,405,175,76
"3101",395,460,579,270,440,457,643,220,356,514,619,291,552,349,494,379,593,191,145,233,364,239,277,345,293,322,650,362,838,171,501,515,608,472,396,620,247,820,261,800,467,576,684,374,474,551,756,216,544,514,334,132,381,44,337,92,375,63,350,85,338,97,347,82,388,37,368,45,378,49,411,290,283,419,544,598,885,233,864,278,566,626,721,418,790,369,918,224,373,664,537,461,261,776,903,138,592,293,503,610,917,251,594,341,444,94,305,252,400,193,292,146,675,443,319,801,323,781,257,865,207,921,892,194,563,546,544,564,304,239,439,100,439,101,552,244,364,429,1177,185,1129,264,959,424,964,410,646,721,613,754,622,744,984,392,477,829,582,776,266,152
"3301",2098,972,2299,270,2325,919,2839,357,1274,1863,2673,615,2239,1029,2633,526,2120,616,213,1253,1741,332,1206,916,1525,535,2675,705,2970,397,1082,2239,2516,1098,1244,2088,552,2987,586,2955,836,2651,2881,606,2499,940,2479,544,2436,1148,1604,142,1291,148,1173,265,1288,196,1270,237,1266,251,1176,273,1316,123,1221,169,1280,155,4129,1125,3425,1866,4485,4326,7146,1503,7275,1665,5266,3961,6380,2492,6715,2242,7826,972,3019,4860,4777,2917,2498,5420,7345,727,5219,1468,5598,3041,7555,1477,6504,1068,3278,283,2620,977,4298,654,3097,398,7681,1971,2159,7595,1759,7749,1100,8664,749,9037,8359,1046,6018,3568,7079,2432,3765,857,4350,273,4162,424,6145,1071,4502,2724,11447,995,10988,1705,9724,2784,10349,2189,8371,3966,8248,4229,8655,3717,10669,1792,6108,5468,6090,6179,3032,524
"3303",1067,1288,271,170,1229,1254,1831,578,990,1391,1529,966,1366,1134,1505,914,1683,478,374,658,991,508,989,567,744,761,2067,903,2547,414,1582,1386,1422,1669,1066,1831,789,2285,803,2252,1433,1619,1914,1102,1321,1626,2151,566,1649,1419,1017,322,1077,86,930,220,1011,164,983,203,972,221,952,226,1073,88,994,122,1049,99,1045,749,814,1000,1327,1837,2540,598,2382,793,1459,1831,2093,1085,2104,1081,2542,583,1002,1895,1598,1202,891,1968,2517,413,1652,811,1446,1662,2759,453,1822,862,1243,179,869,591,1095,501,789,321,1920,1106,938,2117,827,2159,652,2400,498,2554,2440,502,1439,1562,1554,1438,913,606,1301,220,1251,264,1627,592,941,1277,3233,457,3286,494,2185,1502,2506,1197,1711,1983,1496,2216,1679,2027,2704,995,1237,2278,1445,2241,705,348
"3501",348,314,441,207,332,353,504,156,223,435,464,223,395,294,409,262,451,141,114,188,276,163,213,239,215,225,519,236,623,137,362,387,434,364,258,492,195,594,199,591,274,503,509,264,407,345,546,160,406,380,296,81,284,49,263,71,280,59,273,70,254,85,266,73,282,40,270,52,282,42,335,210,235,316,377,467,648,166,711,129,398,491,571,287,616,245,688,153,246,518,377,365,199,580,654,108,441,233,379,438,655,165,541,240,324,53,199,196,348,130,254,96,520,311,264,580,218,613,184,661,169,670,677,138,436,394,440,386,306,178,388,97,391,94,411,193,312,300,839,139,783,219,672,314,681,303,473,507,541,445,446,537,720,260,287,639,391,586,232,80
"3502",1922,1600,2426,1046,2048,1628,2813,778,1247,2280,2568,1174,2302,1425,2395,1215,2560,662,565,1220,1788,734,1124,1479,1427,1103,2854,1064,3272,631,1736,2215,2370,1749,1318,2585,773,3327,825,3280,1282,2774,2839,1197,2131,1842,2837,839,2217,1898,1728,381,1611,197,1506,336,1598,272,1627,271,1546,352,1500,362,1656,166,1545,216,1665,174,2014,977,1378,1634,2186,2052,3299,879,3496,821,2322,2144,2984,1327,3255,1114,3561,702,1455,2398,2229,1549,1000,2896,3531,430,2343,956,2202,1972,3402,825,2955,1125,1767,264,1192,925,2003,650,1439,407,2927,1375,1093,3265,905,3357,723,3623,643,3716,3558,631,2412,1871,2439,1816,1481,815,2015,283,1906,388,2423,871,1912,1380,4234,597,3948,955,3387,1449,3539,1301,2578,2257,2774,2065,2619,2219,3698,1118,1796,2839,2064,2747,1294,344
"3602",1662,651,1650,586,1692,729,2150,250,904,1431,2126,360,1691,771,2055,299,1462,521,136,688,1208,164,724,705,1108,253,2439,662,2713,383,1044,1995,2639,765,1315,1788,705,2579,728,2536,788,2417,2771,442,2481,625,2087,660,2468,814,1074,65,804,128,748,207,834,150,822,175,815,190,755,194,832,101,758,142,810,122,2348,606,1907,1080,2569,2344,3886,923,4109,901,3147,2033,3734,1235,3891,1131,4345,586,1653,2729,2598,1631,1331,3068,4063,409,2890,842,3275,1499,3941,928,4031,621,1640,162,1282,553,2168,361,1558,279,3932,880,1038,3816,849,3897,525,4356,336,4562,4196,511,3139,1656,3617,1139,1704,456,2030,126,1916,218,2939,506,2262,1187,5159,453,4702,981,4447,1195,4744,907,3946,1629,3911,1705,4038,1536,4843,763,2856,2378,2871,2668,1292,217
"3603",1353,554,1190,644,1121,837,1621,307,786,1090,1698,321,1310,683,1620,704,1094,559,182,438,860,140,465,565,777,215,1333,596,1410,490,806,1042,1599,501,856,1068,646,1364,673,1326,570,1376,1569,398,1517,413,1137,625,1495,517,639,37,490,97,400,187,491,112,460,146,444,179,411,182,511,71,469,92,475,104,3159,823,2518,1525,3152,3396,5162,1256,5586,1111,4224,2698,4954,1678,5270,1444,5609,978,2204,3718,3198,2537,1679,4274,5355,685,3841,1237,4608,1885,5010,1427,5312,849,2129,270,1570,849,2778,528,2042,346,5079,1314,1742,4716,1312,5023,927,5535,677,5804,5450,816,4108,2276,4762,1583,2159,593,2517,241,2411,327,3626,785,2945,1465,6934,751,6036,1778,6101,1630,6338,1427,5233,2427,5362,2313,5476,2192,6437,1241,3780,3428,4169,3431,1726,326
"3605",1476,875,1652,630,1564,861,2031,373,1082,1259,1872,627,1554,945,1768,867,1439,558,279,758,1039,333,815,598,860,521,1478,490,1704,257,847,1113,1199,922,683,1270,413,1669,420,1655,853,1199,1369,677,1090,906,1496,310,1224,868,962,205,872,126,808,182,865,151,844,178,822,202,819,176,893,101,820,128,879,109,1048,475,833,700,1152,960,1731,331,1603,512,1028,1173,1419,699,1484,662,1718,355,733,1156,1152,711,664,1232,1648,290,1123,492,1114,935,1749,315,1450,533,939,108,743,327,865,339,698,243,1442,642,497,1610,447,1617,375,1737,234,1879,1617,405,1027,1055,1257,810,685,396,934,146,888,188,1278,342,763,859,2050,334,2066,367,1571,822,1787,619,1284,1100,1216,1188,1320,1068,1859,534,943,1319,955,1425,574,199
"3606",2123,1340,2555,882,2330,1274,2930,608,1403,2103,2690,989,2347,1328,2717,429,2532,651,436,1599,2045,575,1405,1289,1666,940,2939,927,3392,481,1430,2435,2435,1677,1382,2479,687,3406,713,3369,1211,2826,2930,1082,2402,1549,2907,688,2319,1765,2109,320,1833,211,1697,363,1804,306,1822,307,1768,366,1717,349,1887,153,1748,221,1848,199,855,256,640,489,825,692,1196,303,1243,292,989,603,1125,418,1218,341,1350,174,556,835,820,540,351,1048,1300,115,887,303,895,591,1215,276,1210,240,648,79,464,288,777,156,604,103,1179,412,340,1263,251,1330,174,1428,157,1448,1366,183,987,576,1052,527,661,210,791,75,753,112,1047,232,859,422,1669,163,1536,311,1381,448,1450,375,1179,649,1195,638,1206,616,1529,295,813,921,815,988,544,110
