District,Q1Y_2016,Q1N_2016,Q2Y_2016,Q2N_2016,Q3Y_2016,Q3N_2016,Q4Y_2016,Q4N_2016,Q5Y_2016,Q5N_2016,Q6Y_2016,Q6N_2016,Q1Y_2013,Q1N_2013,Q2Y_2013,Q2N_2013,Q3Y_2013,Q3N_2013,Q4Y_2013,Q4N_2013,Q5Y_2013,Q5N_2013,Q1Y_2011,Q1N_2011,Q2Y_2011,Q2N_2011,Q3Y_2011,Q3N_2011,Q4Y_2011,Q4N_2011,Q5Y_2011,Q5N_2011,Q6Y_2011,Q6N_2011,Q1Y_2012,Q1N_2012,Q2Y_2012,Q2N_2012,Q3Y_2012,Q3N_2012,Q4Y_2012,Q4N_2012,Q5Y_2012,Q5N_2012,Q6Y_2012,Q6N_2012
District_1_1,1609,589,1471,721,1844,364,1631,561,1689,489,1719,426,834,407,1111,166,1125,157,1112,151,985,271,1609,589,1471,721,1844,364,1631,561,1689,489,1719,426,2037,336,1659,569,1912,356,1905,338,1929,303,1647,301
District_1_2,1366,527,1319,554,1468,425,1407,473,1393,461,1408,435,589,301,762,143,764,140,727,164,636,258,1366,527,1319,554,1468,425,1407,473,1393,461,1408,435,1450,434,1262,498,1405,362,1448,314,1466,289,1205,304
District_1_3,359,171,359,168,459,71,417,110,397,130,421,104,268,144,326,90,340,74,347,67,296,114,359,171,359,168,459,71,417,110,397,130,421,104,434,95,363,147,409,106,423,96,434,81,390,67
District_2_1,1992,694,1875,803,2306,396,2070,608,2148,498,2123,478,1059,534,1406,207,1439,182,1430,176,1227,370,1992,694,1875,803,2306,396,2070,608,2148,498,2123,478,2495,348,2056,616,2306,391,2329,378,2339,339,1956,347
District_2_2,1619,492,1513,589,1704,403,1578,524,1636,431,1596,441,673,400,949,153,944,158,917,165,778,301,1619,492,1513,589,1704,403,1578,524,1636,431,1596,441,1920,278,1519,547,1743,345,1741,335,1737,316,1442,347
District_3_1,1636,930,1564,995,1948,578,1735,823,1749,769,1881,619,884,477,1084,302,1145,245,1160,208,917,443,1636,930,1564,995,1948,578,1735,823,1749,769,1881,619,2075,588,1690,857,1907,640,2034,511,2063,478,1815,453
District_3_2,1447,922,1411,949,1788,585,1543,818,1616,715,1660,666,1010,546,1200,373,1262,309,1317,250,1066,493,1447,922,1411,949,1788,585,1543,818,1616,715,1660,666,1896,680,1597,878,1822,673,1979,511,1931,548,1859,422
District_4_1,1915,1108,1827,1183,2265,762,1995,1005,2016,954,2142,801,1102,583,1303,408,1374,341,1384,321,1151,546,1915,1108,1827,1183,2265,762,1995,1005,2016,954,2142,801,2321,821,1969,1060,2270,764,2413,616,2363,667,2205,515
District_4_2,1092,825,1024,882,1389,530,1169,742,1142,730,1253,615,605,333,693,249,742,203,753,187,596,341,1092,825,1024,882,1389,530,1169,742,1142,730,1253,615,1321,661,1181,735,1319,593,1492,433,1456,443,1391,361
District_5_1,1102,683,1061,727,1342,454,1165,626,1210,542,1204,543,704,358,805,270,835,243,870,199,706,354,1102,683,1061,727,1342,454,1165,626,1210,542,1204,543,1527,646,1364,727,1496,613,1648,459,1642,460,1570,353
District_5_2,1556,1368,1387,1536,1987,938,1579,1339,1702,1163,1825,1035,1047,563,1142,480,1173,453,1273,344,985,627,1556,1368,1387,1536,1987,938,1579,1339,1702,1163,1825,1035,2062,1157,1749,1369,2003,1118,2319,808,2203,913,2151,683
